Student_ID,Date,Attendance_Status,Subject
S00120,2024-05-09,PRESENT ,Computer Networks
S00137,2024-06-15,PRESENT ,Computer Networks
S00041,2024-10-09,absnt,Software Engineering Lab
S00074,2024-11-10,Present,Machine Learning
S00125,2025-01-14, late,Machine Learning
S00070,2024-06-08,left early,Operating Systems
S00094,2024-06-26,Late,Machine Learning
S00112,2024-05-17,Late,Database Management Systems
S00092,2024-05-30,excused,Software Engineering Lab
S00103,2024-03-18, late,Database Management Systems
S00130,2025-02-21,absnt,Operating Systems
S00010,2025-02-24,Absent,Mathematics for Computing
S00081,2024-12-18,PRESENT ,Mathematics for Computing
S00001,2024-11-07,Late,Computer Networks
S00143,2024-05-23,PRESENT ,Operating Systems
S00149,2024-03-20,excused,Database Management Systems
S00043,2025-03-01, late,Operating Systems
S00087,2024-12-29,absnt,Machine Learning
S00111,2024-12-27,PRESENT ,Mathematics for Computing
S00136,2024-12-20,PRESENT ,Machine Learning
S00115,2024-06-11,Late,Database Management Systems
S00035,2024-11-16,excused,Artificial Intelligence Lab
S00031,2024-11-09,absnt,Software Engineering Lab
S00094,2024-06-16,absnt,Machine Learning
S00137,2024-08-23,PRESENT ,Mathematics for Computing
S00024,2024-07-11,Absent,Mathematics for Computing
S00139,2025-03-05,left early,Artificial Intelligence Lab
S00141,2024-07-17,excused,Mathematics for Computing
S00084,2024-09-14,left early,Operating Systems
S00059,2024-07-13,excused,Computer Networks
S00135,2024-04-13,PRESENT ,Operating Systems
S00065,2024-05-02,left early,Database Management Systems
S00090,2024-10-15, late,Computer Networks
S00059,2024-04-28, late,Mathematics for Computing
S00002,2024-07-06,Present,Computer Networks
S00100,2024-03-13,PRESENT ,Operating Systems
S00018,2024-12-25,PRESENT ,Mathematics for Computing
S00061,2024-05-30,PRESENT ,Machine Learning
S00033,2024-05-30,left early,Machine Learning
S00094,2024-08-10,Absent,Artificial Intelligence Lab
S00116,2024-11-08,excused,Artificial Intelligence Lab
S00110,2024-03-20,Absent,Computer Networks
S00122,2024-08-26,absnt,Machine Learning
S00065,2025-02-12,left early,Machine Learning
S00001,2024-09-28,PRESENT ,Software Engineering Lab
S00117,2024-10-02, late,Computer Networks
S00138,2024-03-09,excused,Database Management Systems
S00072,2024-06-09, late,Machine Learning
S00060,2024-12-31,Present,Software Engineering Lab
S00026,2025-02-04,PRESENT ,Artificial Intelligence Lab
S00079,2025-01-08,PRESENT ,Mathematics for Computing
S00047,2024-08-14,Absent,Computer Networks
S00035,2024-04-26,PRESENT ,Operating Systems
S00040,2024-10-12,Absent,Computer Networks
S00097,2024-09-08,absnt,Software Engineering Lab
S00128,2024-06-09,left early,Operating Systems
S00037,2025-02-01,Present,Database Management Systems
S00130,2024-07-05,Late,Database Management Systems
S00029,2024-08-27, late,Computer Networks
S00092,2025-03-01,PRESENT ,Artificial Intelligence Lab
S00051,2024-06-16,Absent,Computer Networks
S00047,2024-08-11,Present,Database Management Systems
S00045,2025-01-21, late,Mathematics for Computing
S00023,2025-02-01,Late,Database Management Systems
S00116,2024-11-05, late,Database Management Systems
S00077,2025-03-02,excused,Database Management Systems
S00098,2024-07-04, late,Operating Systems
S00047,2024-09-10,left early,Mathematics for Computing
S00037,2024-11-07,Absent,Mathematics for Computing
S00105,2024-09-01,absnt,Machine Learning
S00051,2024-04-12,PRESENT ,Mathematics for Computing
S00012,2024-05-04,left early,Artificial Intelligence Lab
S00029,2024-09-13,Present,Software Engineering Lab
S00043,2024-09-21,absnt,Operating Systems
S00049,2024-04-14,excused,Computer Networks
S00149,2025-02-24,Late,Database Management Systems
S00136,2024-03-15,PRESENT ,Machine Learning
S00044,2024-03-24,Late,Database Management Systems
S00025,2025-01-01, late,Database Management Systems
S00051,2024-12-20,left early,Computer Networks
S00069,2025-01-31,left early,Artificial Intelligence Lab
S00035,2024-04-21,Late,Artificial Intelligence Lab
S00005,2024-10-23,Present,Database Management Systems
S00051,2024-12-11,left early,Operating Systems
S00126,2024-09-13,Present,Software Engineering Lab
S00074,2025-03-09,PRESENT ,Computer Networks
S00018,2024-05-24,Present,Computer Networks
S00005,2024-06-16,Late,Computer Networks
S00144,2024-11-19,Late,Software Engineering Lab
S00056,2025-01-29,excused,Operating Systems
S00110,2024-11-05,Absent,Machine Learning
S00043,2025-03-07,PRESENT ,Computer Networks
S00043,2024-06-22,absnt,Computer Networks
S00001,2024-11-02,Absent,Machine Learning
S00073,2024-06-07,Late,Software Engineering Lab
S00054,2025-03-02,PRESENT ,Machine Learning
S00014,2025-01-03,excused,Mathematics for Computing
S00016,2024-07-01,left early,Computer Networks
S00146,2024-05-01,excused,Operating Systems
S00060,2024-05-12,Late,Machine Learning
S00059,2024-10-19,PRESENT ,Database Management Systems
S00140,2024-11-14, late,Machine Learning
S00046,2024-09-16,Late,Operating Systems
S00081,2024-07-17,Present,Computer Networks
S00097,2024-08-04,left early,Operating Systems
S00115,2025-02-10, late,Computer Networks
S00035,2024-08-16,left early,Software Engineering Lab
S00116,2024-07-15,PRESENT ,Database Management Systems
S00041,2024-07-21, late,Database Management Systems
S00007,2024-09-12,Absent,Mathematics for Computing
S00108,2025-02-17,PRESENT ,Operating Systems
S00095,2024-06-07,excused,Operating Systems
S00077,2024-05-19,left early,Software Engineering Lab
S00144,2025-03-06,Present,Operating Systems
S00090,2024-03-21,Present,Software Engineering Lab
S00051,2024-04-20,left early,Mathematics for Computing
S00107,2024-09-11,PRESENT ,Software Engineering Lab
S00059,2024-10-02,excused,Operating Systems
S00105,2024-11-22,excused,Software Engineering Lab
S00045,2024-06-30,Present,Machine Learning
S00135,2025-02-05,left early,Machine Learning
S00107,2025-01-18,Absent,Artificial Intelligence Lab
S00001,2024-06-11, late,Database Management Systems
S00075,2024-05-27,absnt,Software Engineering Lab
S00038,2024-04-27, late,Computer Networks
S00052,2024-08-10,Present,Operating Systems
S00065,2024-04-08,Absent,Operating Systems
S00132,2024-05-16,Late,Mathematics for Computing
S00066,2024-11-04,excused,Artificial Intelligence Lab
S00145,2025-01-15, late,Machine Learning
S00133,2024-07-25,Late,Computer Networks
S00098,2024-06-30, late,Artificial Intelligence Lab
S00069,2024-09-21,Absent,Database Management Systems
S00013,2024-07-17,absnt,Computer Networks
S00014,2025-01-09,absnt,Computer Networks
S00009,2024-06-28,PRESENT ,Artificial Intelligence Lab
S00102,2024-12-12,Late,Artificial Intelligence Lab
S00052,2024-05-28,Absent,Software Engineering Lab
S00134,2024-11-05,PRESENT ,Computer Networks
S00088,2025-02-02,excused,Artificial Intelligence Lab
S00067,2024-11-02,Present,Software Engineering Lab
S00038,2025-01-31,Late,Artificial Intelligence Lab
S00009,2024-06-04,absnt,Computer Networks
S00140,2024-12-04,absnt,Machine Learning
S00099,2024-11-11, late,Database Management Systems
S00046,2024-11-08,left early,Artificial Intelligence Lab
S00065,2024-12-19, late,Operating Systems
S00108,2024-08-31,Present,Artificial Intelligence Lab
S00043,2024-07-01,excused,Machine Learning
S00138,2024-11-10,Present,Mathematics for Computing
S00096,2025-01-28, late,Machine Learning
S00067,2024-07-19, late,Operating Systems
S00041,2024-08-14,excused,Computer Networks
S00045,2024-11-11,excused,Mathematics for Computing
S00031,2024-06-30,PRESENT ,Database Management Systems
S00012,2025-01-29,left early,Operating Systems
S00142,2024-12-03,left early,Operating Systems
S00066,2025-02-01, late,Computer Networks
S00029,2024-06-30,Present,Operating Systems
S00011,2024-07-23,Late,Artificial Intelligence Lab
S00022,2024-06-28,excused,Mathematics for Computing
S00023,2024-06-18,left early,Artificial Intelligence Lab
S00037,2024-11-27,Late,Database Management Systems
S00033,2024-04-02,Late,Computer Networks
S00024,2025-02-22,Present,Mathematics for Computing
S00082,2024-04-23,PRESENT ,Artificial Intelligence Lab
S00118,2024-05-16,Present,Software Engineering Lab
S00145,2025-02-21,excused,Artificial Intelligence Lab
S00105,2024-05-27,Absent,Database Management Systems
S00004,2025-03-05,absnt,Machine Learning
S00096,2024-03-26, late,Software Engineering Lab
S00016,2024-05-29,excused,Machine Learning
S00078,2025-01-24,Absent,Artificial Intelligence Lab
S00109,2025-01-27, late,Mathematics for Computing
S00007,2024-12-29,left early,Mathematics for Computing
S00128,2024-11-03,absnt,Artificial Intelligence Lab
S00114,2024-04-13,absnt,Software Engineering Lab
S00085,2024-09-08,left early,Artificial Intelligence Lab
S00129,2024-06-18,Absent,Machine Learning
S00132,2024-06-29,absnt,Database Management Systems
S00031,2024-09-30,Present,Mathematics for Computing
S00143,2024-10-11,PRESENT ,Computer Networks
S00059,2025-01-15,Present,Database Management Systems
S00025,2025-01-24, late,Computer Networks
S00138,2025-02-19,absnt,Computer Networks
S00044,2025-01-05,Absent,Mathematics for Computing
S00037,2024-07-04,excused,Operating Systems
S00107,2024-03-29,left early,Computer Networks
S00007,2024-09-10,left early,Computer Networks
S00033,2024-06-06,absnt,Operating Systems
S00111,2024-09-18,left early,Computer Networks
S00090,2024-12-04,excused,Machine Learning
S00037,2024-09-02,left early,Software Engineering Lab
S00003,2024-12-19, late,Database Management Systems
S00011,2024-10-23,Late,Mathematics for Computing
S00032,2024-09-12, late,Computer Networks
S00106,2024-04-02, late,Software Engineering Lab
S00040,2024-07-25,PRESENT ,Machine Learning
S00062,2025-01-21,left early,Operating Systems
S00115,2024-11-11,excused,Computer Networks
S00039,2024-09-07,absnt,Software Engineering Lab
S00147,2024-11-09,PRESENT ,Software Engineering Lab
S00015,2024-09-09,Present,Software Engineering Lab
S00084,2024-05-22,PRESENT ,Machine Learning
S00121,2024-05-21,left early,Operating Systems
S00025,2025-02-04,excused,Mathematics for Computing
S00097,2024-07-08,Absent,Artificial Intelligence Lab
S00089,2025-01-27,excused,Computer Networks
S00083,2024-06-28, late,Software Engineering Lab
S00050,2024-07-17,Late,Operating Systems
S00043,2024-07-07,excused,Database Management Systems
S00063,2025-03-03, late,Computer Networks
S00043,2024-10-24,Late,Operating Systems
S00016,2024-07-19,Late,Mathematics for Computing
S00091,2024-06-01,PRESENT ,Database Management Systems
S00133,2024-11-17, late,Artificial Intelligence Lab
S00103,2024-03-09,absnt,Computer Networks
S00138,2024-11-01,left early,Software Engineering Lab
S00007,2024-10-14,excused,Machine Learning
S00079,2024-03-16,left early,Software Engineering Lab
S00024,2024-10-27,excused,Database Management Systems
S00028,2025-02-14,excused,Operating Systems
S00070,2025-03-04,PRESENT ,Machine Learning
S00122,2024-11-22,absnt,Operating Systems
S00032,2024-11-29, late,Software Engineering Lab
S00045,2024-03-29,absnt,Mathematics for Computing
S00074,2024-10-08,absnt,Artificial Intelligence Lab
S00101,2024-08-05,absnt,Artificial Intelligence Lab
S00011,2025-03-02,left early,Operating Systems
S00063,2024-10-20, late,Computer Networks
S00044,2024-04-27, late,Artificial Intelligence Lab
S00038,2024-05-23, late,Mathematics for Computing
S00089,2024-08-16,Late,Software Engineering Lab
S00007,2024-06-13, late,Operating Systems
S00144,2024-09-16,excused,Computer Networks
S00092,2024-08-20,Present,Operating Systems
S00109,2024-10-12,Absent,Computer Networks
S00090,2024-12-18,absnt,Mathematics for Computing
S00045,2024-06-12,PRESENT ,Database Management Systems
S00008,2024-12-26,Late,Operating Systems
S00050,2024-11-16,Present,Computer Networks
S00018,2025-02-12,Late,Machine Learning
S00121,2025-03-09,left early,Operating Systems
S00022,2024-10-14,left early,Software Engineering Lab
S00007,2025-02-18,PRESENT ,Database Management Systems
S00127,2024-12-02,excused,Computer Networks
S00128,2024-09-19, late,Database Management Systems
S00138,2024-07-20,Absent,Computer Networks
S00033,2024-11-30,left early,Mathematics for Computing
S00035,2024-05-24,Late,Mathematics for Computing
S00052,2024-11-15,left early,Operating Systems
S00137,2024-05-12,left early,Database Management Systems
S00114,2024-04-11,Late,Artificial Intelligence Lab
S00059,2024-12-26,Present,Artificial Intelligence Lab
S00126,2024-09-30,left early,Software Engineering Lab
S00143,2024-12-31, late,Artificial Intelligence Lab
S00133,2024-05-03, late,Artificial Intelligence Lab
S00073,2024-09-16,Late,Operating Systems
S00005,2024-04-27,absnt,Mathematics for Computing
S00122,2024-10-26,Present,Mathematics for Computing
S00027,2024-06-26,excused,Mathematics for Computing
S00019,2024-11-23,absnt,Artificial Intelligence Lab
S00149,2025-02-20,left early,Artificial Intelligence Lab
S00120,2025-02-27,excused,Software Engineering Lab
S00008,2024-09-27,left early,Database Management Systems
S00064,2025-02-22,left early,Computer Networks
S00085,2025-02-13,Late,Mathematics for Computing
S00013,2024-08-25,excused,Computer Networks
S00075,2024-04-01,excused,Computer Networks
S00032,2025-02-23, late,Operating Systems
S00056,2024-03-11,left early,Software Engineering Lab
S00066,2024-06-28,excused,Software Engineering Lab
S00144,2024-08-25,excused,Database Management Systems
S00044,2024-05-24,excused,Software Engineering Lab
S00118,2024-12-19,left early,Artificial Intelligence Lab
S00141,2025-01-11,left early,Computer Networks
S00071,2025-01-25,Absent,Operating Systems
S00009,2024-06-06,Present,Operating Systems
S00037,2025-02-27,PRESENT ,Mathematics for Computing
S00047,2024-12-06,Absent,Computer Networks
S00083,2024-10-22,Present,Mathematics for Computing
S00045,2024-09-05,left early,Database Management Systems
S00099,2024-07-27,absnt,Computer Networks
S00054,2024-09-25,absnt,Software Engineering Lab
S00101,2024-12-20,Present,Software Engineering Lab
S00102,2024-10-16,PRESENT ,Machine Learning
S00096,2024-10-20, late,Machine Learning
S00083,2024-10-27,Present,Software Engineering Lab
S00002,2024-10-17,Present,Machine Learning
S00006,2025-01-03,Late,Database Management Systems
S00008,2025-01-08,Present,Operating Systems
S00128,2025-03-06,excused,Operating Systems
S00074,2024-04-17,left early,Software Engineering Lab
S00020,2024-05-04,Late,Artificial Intelligence Lab
S00146,2025-02-17,Late,Artificial Intelligence Lab
S00011,2024-07-07,PRESENT ,Artificial Intelligence Lab
S00100,2024-03-20,left early,Artificial Intelligence Lab
S00002,2024-04-17,Absent,Artificial Intelligence Lab
S00136,2024-08-23,left early,Software Engineering Lab
S00112,2024-12-10,Late,Mathematics for Computing
S00041,2024-07-10, late,Computer Networks
S00016,2025-02-05,Late,Database Management Systems
S00039,2024-09-11, late,Software Engineering Lab
S00093,2024-07-03,absnt,Database Management Systems
S00059,2024-05-23,excused,Computer Networks
S00110,2024-11-18,PRESENT ,Artificial Intelligence Lab
S00080,2024-04-17,left early,Mathematics for Computing
S00138,2024-10-21, late,Software Engineering Lab
S00081,2024-10-20,PRESENT ,Computer Networks
S00027,2024-12-28,Present,Database Management Systems
S00067,2024-10-13,left early,Machine Learning
S00012,2024-08-07,left early,Artificial Intelligence Lab
S00114,2024-08-16,absnt,Mathematics for Computing
S00092,2024-06-14,excused,Computer Networks
S00008,2024-03-15,absnt,Operating Systems
S00109,2025-01-10,Present,Operating Systems
S00023,2024-11-23,Absent,Mathematics for Computing
S00102,2024-05-15,Absent,Operating Systems
S00136,2024-08-28,left early,Software Engineering Lab
S00083,2024-04-20,Absent,Mathematics for Computing
S00038,2025-01-10,left early,Software Engineering Lab
S00138,2025-01-11,excused,Machine Learning
S00134,2025-02-14,PRESENT ,Mathematics for Computing
S00011,2024-04-30,left early,Artificial Intelligence Lab
S00062,2024-09-16,absnt,Mathematics for Computing
S00148,2024-05-31,absnt,Artificial Intelligence Lab
S00051,2024-04-17,Absent,Mathematics for Computing
S00147,2024-11-09,absnt,Artificial Intelligence Lab
S00079,2024-04-25,Present,Operating Systems
S00117,2024-12-10,absnt,Mathematics for Computing
S00041,2024-10-02,Absent,Artificial Intelligence Lab
S00123,2024-06-01,Absent,Operating Systems
S00110,2024-09-22,excused,Operating Systems
S00066,2024-12-16,Present,Operating Systems
S00061,2024-11-05,Absent,Operating Systems
S00001,2024-12-02,PRESENT ,Computer Networks
S00054,2024-09-01,Present,Artificial Intelligence Lab
S00116,2024-12-16,Present,Artificial Intelligence Lab
S00127,2024-07-03, late,Operating Systems
S00012,2024-10-12,left early,Operating Systems
S00144,2025-02-25,absnt,Artificial Intelligence Lab
S00013,2024-06-17,absnt,Artificial Intelligence Lab
S00046,2024-12-10,absnt,Artificial Intelligence Lab
S00048,2024-12-08,PRESENT ,Software Engineering Lab
S00113,2024-08-18,Late,Operating Systems
S00109,2024-03-14,left early,Operating Systems
S00038,2025-01-22,left early,Mathematics for Computing
S00105,2024-07-15,absnt,Mathematics for Computing
S00094,2024-10-23,left early,Machine Learning
S00113,2025-03-03,PRESENT ,Database Management Systems
S00041,2024-05-05,left early,Database Management Systems
S00046,2024-09-06,Absent,Operating Systems
S00073,2024-07-25,left early,Machine Learning
S00078,2024-07-08,absnt,Mathematics for Computing
S00042,2024-05-10,Absent,Mathematics for Computing
S00078,2025-01-24,Present,Software Engineering Lab
S00142,2024-05-08,PRESENT ,Database Management Systems
S00084,2025-01-07,Present,Database Management Systems
S00132,2025-01-16,absnt,Machine Learning
S00044,2024-06-13,Absent,Computer Networks
S00081,2024-06-19,Absent,Operating Systems
S00030,2024-03-13,Late,Artificial Intelligence Lab
S00108,2024-03-11,excused,Database Management Systems
S00089,2024-10-16, late,Artificial Intelligence Lab
S00033,2024-12-03,Present,Operating Systems
S00098,2024-08-13, late,Artificial Intelligence Lab
S00070,2024-08-14,PRESENT ,Database Management Systems
S00062,2025-01-23,left early,Artificial Intelligence Lab
S00129,2024-03-10,PRESENT ,Mathematics for Computing
S00086,2024-10-15, late,Operating Systems
S00130,2024-09-01,Absent,Machine Learning
S00089,2024-10-09,left early,Machine Learning
S00115,2024-06-19,PRESENT ,Operating Systems
S00147,2024-10-08,Late,Software Engineering Lab
S00117,2024-08-31,excused,Database Management Systems
S00087,2025-01-27,excused,Machine Learning
S00095,2024-05-29,absnt,Computer Networks
S00094,2024-12-18,Present,Database Management Systems
S00140,2024-05-08,Present,Database Management Systems
S00128,2024-05-28, late,Mathematics for Computing
S00024,2025-02-28,Present,Mathematics for Computing
S00142,2024-06-07,absnt,Operating Systems
S00054,2025-01-11,left early,Artificial Intelligence Lab
S00060,2024-07-19,Present,Computer Networks
S00079,2024-09-22,Present,Database Management Systems
S00061,2024-05-30,absnt,Operating Systems
S00032,2024-08-22,left early,Machine Learning
S00051,2025-02-05,Late,Software Engineering Lab
S00138,2024-08-16,Absent,Machine Learning
S00049,2024-12-06,Absent,Operating Systems
S00080,2024-07-29,Present,Artificial Intelligence Lab
S00071,2025-02-22,Late,Mathematics for Computing
S00017,2024-11-25,Absent,Artificial Intelligence Lab
S00013,2024-08-06,excused,Software Engineering Lab
S00023,2024-04-23,Absent,Database Management Systems
S00069,2024-04-04,Absent,Software Engineering Lab
S00023,2025-01-07,PRESENT ,Database Management Systems
S00082,2025-02-10,Late,Artificial Intelligence Lab
S00141,2024-12-11,excused,Mathematics for Computing
S00120,2024-09-02,left early,Artificial Intelligence Lab
S00108,2024-09-13,Late,Machine Learning
S00102,2024-04-22,Present,Artificial Intelligence Lab
S00032,2024-08-30,excused,Machine Learning
S00037,2024-08-14,left early,Machine Learning
S00137,2024-06-03,Absent,Mathematics for Computing
S00134,2024-07-07,PRESENT ,Machine Learning
S00067,2024-11-20,Late,Artificial Intelligence Lab
S00059,2024-11-12,PRESENT ,Machine Learning
S00047,2025-01-14,absnt,Software Engineering Lab
S00064,2024-09-05,absnt,Computer Networks
S00126,2024-06-22,PRESENT ,Machine Learning
S00132,2024-07-05,Absent,Mathematics for Computing
S00148,2024-04-22, late,Software Engineering Lab
S00027,2024-12-03,Present,Computer Networks
S00140,2024-06-12,absnt,Artificial Intelligence Lab
S00093,2024-04-09,absnt,Operating Systems
S00106,2024-04-22,Present,Operating Systems
S00094,2024-11-12,PRESENT ,Software Engineering Lab
S00068,2024-10-08, late,Computer Networks
S00109,2024-06-14,PRESENT ,Computer Networks
S00045,2024-12-04,Present,Machine Learning
S00125,2024-10-08,Absent,Machine Learning
S00136,2025-02-17,Absent,Operating Systems
S00065,2024-06-01,excused,Operating Systems
S00072,2024-11-11,Absent,Artificial Intelligence Lab
S00130,2025-01-01,PRESENT ,Mathematics for Computing
S00009,2024-12-16,left early,Database Management Systems
S00142,2024-04-09,Absent,Operating Systems
S00006,2024-06-05,excused,Artificial Intelligence Lab
S00100,2024-04-25,excused,Artificial Intelligence Lab
S00103,2024-03-09,Late,Machine Learning
S00062,2024-07-17,absnt,Computer Networks
S00049,2024-04-04,absnt,Operating Systems
S00150,2025-02-20,PRESENT ,Operating Systems
S00053,2024-07-15, late,Database Management Systems
S00046,2024-06-14,Absent,Artificial Intelligence Lab
S00031,2024-11-05,Late,Computer Networks
S00053,2024-10-28,Present,Machine Learning
S00140,2025-01-17,Present,Database Management Systems
S00144,2024-03-19,Late,Software Engineering Lab
S00045,2024-04-23,excused,Computer Networks
S00029,2024-05-31, late,Mathematics for Computing
S00037,2024-11-30, late,Operating Systems
S00089,2024-10-13,absnt,Artificial Intelligence Lab
S00005,2025-03-09, late,Database Management Systems
S00095,2024-04-10,PRESENT ,Software Engineering Lab
S00115,2024-09-23,Absent,Software Engineering Lab
S00025,2024-05-14,PRESENT ,Software Engineering Lab
S00020,2024-08-19,excused,Mathematics for Computing
S00044,2024-09-15,left early,Mathematics for Computing
S00137,2025-02-12,Late,Computer Networks
S00125,2024-09-03,Present,Artificial Intelligence Lab
S00051,2024-04-24, late,Database Management Systems
S00077,2024-09-07,Absent,Artificial Intelligence Lab
S00064,2025-02-08,Absent,Mathematics for Computing
S00068,2024-06-08,Late,Operating Systems
S00066,2024-10-14,Present,Software Engineering Lab
S00103,2024-04-04,absnt,Computer Networks
S00051,2024-03-26,excused,Mathematics for Computing
S00005,2025-01-27,Late,Artificial Intelligence Lab
S00096,2025-01-23,Present,Operating Systems
S00033,2024-07-11,left early,Operating Systems
S00139,2024-06-27,Late,Software Engineering Lab
S00019,2024-08-03,excused,Software Engineering Lab
S00059,2024-05-04,left early,Operating Systems
S00112,2024-05-28,Absent,Operating Systems
S00138,2024-12-23, late,Artificial Intelligence Lab
S00136,2024-11-30,Present,Mathematics for Computing
S00109,2025-01-07,Late,Artificial Intelligence Lab
S00143,2024-06-08,excused,Operating Systems
S00063,2024-08-18,Absent,Operating Systems
S00022,2024-10-28,excused,Machine Learning
S00114,2024-11-30,Present,Software Engineering Lab
S00075,2024-12-05,PRESENT ,Software Engineering Lab
S00094,2025-02-19,left early,Database Management Systems
S00082,2025-01-05,Present,Machine Learning
S00054,2024-07-02,left early,Computer Networks
S00026,2024-10-12, late,Mathematics for Computing
S00091,2024-06-06, late,Operating Systems
S00055,2024-03-22,PRESENT ,Database Management Systems
S00117,2024-12-15,Present,Machine Learning
S00137,2024-10-31,left early,Computer Networks
S00073,2024-07-28,PRESENT ,Mathematics for Computing
S00128,2024-11-28,Present,Mathematics for Computing
S00141,2024-10-20,left early,Operating Systems
S00129,2024-09-07,excused,Artificial Intelligence Lab
S00015,2024-09-26,Absent,Artificial Intelligence Lab
S00111,2024-11-29,Late,Software Engineering Lab
S00127,2024-08-24,Late,Operating Systems
S00138,2024-05-08,Late,Computer Networks
S00134,2024-12-19, late,Mathematics for Computing
S00043,2024-09-28,Present,Mathematics for Computing
S00095,2024-05-01,PRESENT ,Computer Networks
S00008,2024-08-27,excused,Database Management Systems
S00113,2025-02-13,left early,Computer Networks
S00103,2024-04-27,PRESENT ,Artificial Intelligence Lab
S00114,2024-10-13,PRESENT ,Artificial Intelligence Lab
S00109,2024-08-25,left early,Database Management Systems
S00149,2024-12-02,Absent,Computer Networks
S00123,2024-05-29,left early,Software Engineering Lab
S00054,2024-10-12,excused,Software Engineering Lab
S00094,2024-09-02,Absent,Computer Networks
S00083,2024-03-09, late,Artificial Intelligence Lab
S00087,2024-09-12,PRESENT ,Mathematics for Computing
S00088,2025-03-04,absnt,Mathematics for Computing
S00043,2024-08-18,Absent,Software Engineering Lab
S00127,2024-06-20,absnt,Database Management Systems
S00103,2025-02-17,Late,Computer Networks
S00107,2024-03-31, late,Computer Networks
S00060,2025-03-02,Late,Software Engineering Lab
S00005,2024-11-18,Present,Machine Learning
S00017,2024-03-29,Absent,Artificial Intelligence Lab
S00101,2025-01-28,Present,Artificial Intelligence Lab
S00130,2024-05-13,excused,Machine Learning
S00139,2025-01-18,Present,Database Management Systems
S00033,2024-10-12,Absent,Artificial Intelligence Lab
S00030,2024-05-16,PRESENT ,Machine Learning
S00100,2024-07-08,absnt,Computer Networks
S00131,2024-05-15,excused,Computer Networks
S00148,2024-05-24,Absent,Operating Systems
S00056,2024-05-24,PRESENT ,Machine Learning
S00025,2024-03-21, late,Machine Learning
S00134,2024-09-26,PRESENT ,Mathematics for Computing
S00087,2024-10-11,Absent,Database Management Systems
S00063,2025-02-02,PRESENT ,Artificial Intelligence Lab
S00120,2024-09-06,absnt,Artificial Intelligence Lab
S00012,2024-05-17,Late,Software Engineering Lab
S00046,2024-07-14,Absent,Operating Systems
S00122,2024-07-16, late,Software Engineering Lab
S00097,2025-01-18,Present,Software Engineering Lab
S00129,2024-12-17,Present,Artificial Intelligence Lab
S00042,2024-10-04,left early,Database Management Systems
S00123,2024-05-15,left early,Operating Systems
S00068,2024-05-23, late,Database Management Systems
S00063,2025-02-13,excused,Machine Learning
